,Pattern,Result,ResultNum,Percentage
92,"[True, True, False, False, False, True, False, False]",[True],84,4.761904761904762
93,"[True, True, False, False, False, True, False, False, True]",[True],56,3.571428571428571
94,"[True, True, False, False, False, True, False, False, True, True]",[True],28,7.142857142857142
95,"[True, True, False, False, False, True, False, False, True, True, True]",[True],28,3.571428571428571
96,"[True, True, False, False, False, True, False, False, True, True, True, True]",[False],14,7.142857142857142
97,"[True, True, False, False, False, True, False, False, True, True, True, True, False]",[False],14,7.142857142857142
98,"[True, True, False, False, False, True, False, False, True, True, True, True, False, False]",[True],14,7.142857142857142
99,"[True, False, False, False]",[True],812,4.80295566502463
100,"[True, False, False, False, True]",[True],546,3.8461538461538463
101,"[True, False, False, False, True, False]",[False],252,3.571428571428571
102,"[True, False, False, False, True, False, False]",[True],126,4.761904761904762
103,"[True, False, False, False, True, False, False, True]",[True],84,4.761904761904762
104,"[True, False, False, False, True, False, False, True, True]",[True],56,5.357142857142857
105,"[True, False, False, False, True, False, False, True, True, True]",[True],42,4.761904761904762
106,"[True, False, False, False, True, False, False, True, True, True, True]",[False],28,7.142857142857142
107,"[True, False, False, False, True, False, False, True, True, True, True, False]",[False],28,7.142857142857142
108,"[True, False, False, False, True, False, False, True, True, True, True, False, False]",[True],28,7.142857142857142
109,"[True, False, False, False, True, False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
110,"[False, False, False]",[True],1190,4.873949579831933
111,"[False, False, False, True]",[True],812,3.8177339901477834
112,"[False, False, False, True, False]",[True],378,3.968253968253968
113,"[False, False, False, True, False, False]",[True],168,4.166666666666666
114,"[False, False, False, True, False, False, True]",[True],98,5.1020408163265305
115,"[False, False, False, True, False, False, True, True]",[True],70,5.714285714285714
116,"[False, False, False, True, False, False, True, True, True]",[True],56,3.571428571428571
117,"[False, False, False, True, False, False, True, True, True, True]",[False],28,7.142857142857142
118,"[False, False, False, True, False, False, True, True, True, True, False]",[False],28,7.142857142857142
119,"[False, False, False, True, False, False, True, True, True, True, False, False]",[True],28,7.142857142857142
120,"[False, False, False, True, False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
121,"[False, False, False, True, False, False, True, True, True, True, False, False, True, False]",[True],14,7.142857142857142
122,"[False, False, True, False, False]",[True],341,3.812316715542522
123,"[False, False, True, False, False, True]",[True],172,5.813953488372093
124,"[False, False, True, False, False, True, True]",[True],129,5.426356589147287
125,"[False, False, True, False, False, True, True, True]",[False],86,5.813953488372093
126,"[False, False, True, False, False, True, True, True, True]",[False],28,7.142857142857142
127,"[False, False, True, False, False, True, True, True, True, False]",[False],28,7.142857142857142
128,"[False, False, True, False, False, True, True, True, True, False, False]",[True],28,7.142857142857142
129,"[False, False, True, False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
130,"[False, False, True, False, False, True, True, True, True, False, False, True, False]",[True],14,7.142857142857142
131,"[False, False, True, False, False, True, True, True, True, False, False, True, False, True]",[False],14,7.142857142857142
132,"[False, True, False, False]",[True],789,4.055766793409378
133,"[False, True, False, False, True]",[True],437,4.3478260869565215
134,"[False, True, False, False, True, True]",[True],255,4.705882352941177
135,"[False, True, False, False, True, True, True]",[False],156,4.487179487179487
136,"[False, True, False, False, True, True, True, True]",[False],70,4.285714285714286
137,"[False, True, False, False, True, True, True, True, False]",[False],42,7.142857142857142
138,"[False, True, False, False, True, True, True, True, False, False]",[True],42,4.761904761904762
139,"[False, True, False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
140,"[False, True, False, False, True, True, True, True, False, False, True, False]",[True],14,7.142857142857142
141,"[False, True, False, False, True, True, True, True, False, False, True, False, True]",[False],14,7.142857142857142
142,"[False, True, False, False, True, True, True, True, False, False, True, False, True, False]",[True],14,7.142857142857142
143,"[True, False, False, True, True]",[True],423,4.491725768321513
144,"[True, False, False, True, True, True]",[False],254,3.937007874015748
145,"[True, False, False, True, True, True, True]",[False],126,4.761904761904762
146,"[True, False, False, True, True, True, True, False]",[False],84,4.761904761904762
147,"[True, False, False, True, True, True, True, False, False]",[True],56,3.571428571428571
148,"[True, False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
149,"[True, False, False, True, True, True, True, False, False, True, False]",[True],14,7.142857142857142
150,"[True, False, False, True, True, True, True, False, False, True, False, True]",[False],14,7.142857142857142
151,"[True, False, False, True, True, True, True, False, False, True, False, True, False]",[True],14,7.142857142857142
152,"[True, False, False, True, True, True, True, False, False, True, False, True, False, True]",[True],14,7.142857142857142
153,"[False, False, True, True]",[False],857,3.9673278879813303
154,"[False, False, True, True, True]",[False],380,4.2105263157894735
155,"[False, False, True, True, True, True]",[False],168,4.166666666666666
156,"[False, False, True, True, True, True, False]",[False],98,4.081632653061225
157,"[False, False, True, True, True, True, False, False]",[True],56,3.571428571428571
158,"[False, False, True, True, True, True, False, False, True]",[False],28,3.571428571428571
159,"[False, False, True, True, True, True, False, False, True, False]",[True],14,7.142857142857142
160,"[False, False, True, True, True, True, False, False, True, False, True]",[False],14,7.142857142857142
161,"[False, False, True, True, True, True, False, False, True, False, True, False]",[True],14,7.142857142857142
162,"[False, False, True, True, True, True, False, False, True, False, True, False, True]",[True],14,7.142857142857142
163,"[False, False, True, True, True, True, False, False, True, False, True, False, True, True]",[False],14,7.142857142857142
164,"[False, True, True, True, True, False, False, True]",[False],56,3.571428571428571
165,"[False, True, True, True, True, False, False, True, False]",[True],28,7.142857142857142
166,"[False, True, True, True, True, False, False, True, False, True]",[False],28,3.571428571428571
167,"[False, True, True, True, True, False, False, True, False, True, False]",[True],14,7.142857142857142
168,"[False, True, True, True, True, False, False, True, False, True, False, True]",[True],14,7.142857142857142
169,"[False, True, True, True, True, False, False, True, False, True, False, True, True]",[False],14,7.142857142857142
170,"[False, True, True, True, True, False, False, True, False, True, False, True, True, False]",[True],14,7.142857142857142
